,size
Li4 Fe3 Co2 Sn3 O16,0.9517857142857142
Mn3 Ni1 O8,0.8624999999999999
Li4 Fe1 Bi1 Te2 O12,0.94
Li4 Ti3 V3 Cu2 O16,0.9410714285714286
Li4 Mn1 V3 P8 O28,0.8193181818181818
Li1 Fe2 F7,0.7749999999999999
Na4 Co2 O5,1.1727272727272728
Li6 Bi2 B4 S1 O16,0.893103448275862
Fe2 O1 F3,0.8166666666666667
Li4 V3 Cr2 O10,0.981578947368421
P1 H8 N4 Cl1,0.4714285714285714
Zr1 Cu2 P2,1.25
Ti1 Co1,1.375
Sm1 Rh2,1.5166666666666666
Mn12 O5 F19,0.8138888888888889
Fe3 S4,1.1714285714285713
Li5 Fe5 Co2 O12,1.00625
Fe4 O5 F3,0.8416666666666666
Li1 Fe2 Si2 O8,0.8653846153846154
Ba1 Sb1 Pt1,1.6499999999999997
Pa1 Mn2 Al1,1.4625
Sc2 Ga1 Tc1,1.4625
Pa1 Sn1 Au2,1.4875
Pm1 F3,0.8375
Pm1 Mg1 Cd2,1.6125
Er2 Cd1 In1,1.65
Li2 V1 F5,0.84375
Pm2 Cu1 Os1,1.5875000000000001
Mo1 I3,1.4124999999999999
Ho1 Ag1 Hg2,1.5875
Dy1 Ga3,1.4125
Lu1 I3,1.4874999999999998
Cs1 Sn3,1.7374999999999998
Li5 Mg1,1.4583333333333333
Ti1 Fe2 Si1,1.3249999999999997
Lu1 Cd1 Pd2,1.525
Fe1 H6 C2 N2 O4,0.5333333333333333
Ca1 Sn1 S3,1.25
Sc1 Zn2 Ag1,1.475
Cd1 Sb2 O6,0.8944444444444444
Nd3 Ir1 O7,1.009090909090909
Y1 Mg1 Tl1,1.7333333333333334
U2 Ga2 O5,1.011111111111111
Sr1 Be1 F4,0.8416666666666666
Si3 F1,0.9500000000000001
Li1 Tl3,1.7874999999999999
Mn3 S1,1.2999999999999998
K3 V1 S2 O10,0.9968750000000001
Na1 Sr1 O3,1.12
Li3 Be1,1.3499999999999999
Na1 Nb3,1.5374999999999999
Th1 Mg1 Zn2,1.5
Ca2 Cd1 In1,1.675
Sm2 Tl1 Hg1,1.775
Sm1 As2 Au1,1.375
Sm3 I1,1.7375000000000003
Yb3 Zr1,1.7
Y1 Er1 Rh2,1.5625
La1 Be1 O3,0.9600000000000001
Hf1 Tl3,1.8124999999999998
Ga3 Bi1,1.375
Y2 Si5 Rh3,1.3150000000000002
Ti1 P1 N3,0.87
Ca1 Mo1 N3,1.04
Hf1 S3,1.1375
Ag1 Bi1 O2,1.1
Pd1 Au1 O2,0.9875
Rb1 In1 Br3,1.47
In1 Ge1 Cl3,1.1600000000000001
Ta1 In1 Se2,1.325
Nd1 Rh1,1.6
Ni1 H1 O2,0.7
Mn3 Ga1,1.3749999999999998
Al1 Sn1 O3,0.9
Mg1 Co1 As1 O5,0.875
Zn1 Mo2 O4,0.95
Zn1 Fe2 Co1 O7,0.8818181818181818
Mg1 V1 Ni1 P2 O9,0.8285714285714285
Eu1 In1 Ni5,1.4500000000000002
Ga1 Sb1,1.375
Li1 Eu1 O2,1.125
Rb1 Y1 P4 O12,0.8527777777777777
Te2 Mo3 W1 Se2 S4,1.2333333333333334
Y4 Te3 N2,1.411111111111111
Te2 Mo3 W1 Se4 S2,1.2583333333333335
K1 Mg6 Si1 O8,1.0687499999999999
Mg6 Ti1 Sn1 O8,1.040625
Rb1 Mg6 B1 O7,1.0933333333333335
Mg14 Mn1 C1 O16,1.0218749999999999
Ba1 Mg30 Cr1 O32,1.05859375
Cs1 Mg30 Sb1 O32,1.06640625
Na1 N3,0.9375
Tb1 Cu4 Ag1,1.4583333333333333
Mg4 Si7,1.2454545454545456
La5 Sm3 Cr7 Fe1 O24,1.0225
K5 Na3 Nb6 W2 O24,1.0550000000000002
K5 Na3 Nb5 W3 O20,1.1027777777777779
Pr1 Si1 Ge1,1.4
Ga1 B1 O3,0.79
Dy2 Ni1 As2,1.4300000000000002
Nb1 Se4,1.21
Sr1 Tc1 O3,1.03
La1 Ge2 Pt2,1.4300000000000002
Fe7 Co1,1.3937499999999998
Tc1 N2 F6,0.6277777777777778
Yb1 Au1,1.55
Ho1 Ni1 Sb2,1.5
Y2 Co1 Cu1,1.5750000000000002
Hf1 Ga1 Cu2,1.3875000000000002
Ca1 Mg1,1.65
Y1 Ir3,1.4625000000000001
Ca1 Mg1 Zn2,1.5
Nb1 Tc1 Mo2,1.4249999999999998
Ca2 Al1 Cd1,1.5999999999999999
Ba2 Na1 In1,1.9124999999999999
Hf2 Ni1 Os1,1.4375
La2 Ag1 Au1,1.7125
Y1 Sc1 Au2,1.5250000000000001
Zr1 Zn2 Pt1,1.4
Zr2 Mo1 Pd1,1.4874999999999998
Hf2 Fe1 Co1,1.4625
Sr1 La1 Cd2,1.7625000000000002
Mg2 In1 Pd1,1.4874999999999998
Zr2 Pd1 Au1,1.4625
Na1 Hf1 Mg6,1.54375
Y1 Hg1 B1,1.3833333333333333
K1 Na1 Se1,1.7166666666666668
Th1 In1 Rh2,1.5125000000000002
Li1 Bi1 P2 O8,0.8208333333333333
Nd1 Al1 Au1,1.4833333333333332
Dy2 Ga8 Fe1,1.3909090909090909
U1 C2,1.0499999999999998
K1 Hg1 Br3 O1,1.2916666666666667
V1 Bi1 O4,0.8916666666666666
Sc1 Fe6 Sn6,1.4384615384615387
Np1 C4 O8,0.7192307692307693
Cs1 N2,1.3
Dy1 Ga6,1.3642857142857143
La2 Sn5,1.592857142857143
Pr5 Ge3 C1,1.5222222222222224
Sr3 Hg1,1.875
Na1 Fe1 S1 O4 F1,0.8875
Dy6 Ni2 Sn1,1.6277777777777778
K2 Na1 Eu1 Cl6,1.4050000000000002
Cs2 Rb1 Pr1 Cl6,1.54
K2 Y1 Cu1 Cl6,1.355
K2 Gd1 Cu1 Cl6,1.355
K1 In1 I3,1.59
K2 As1 Au1 I6,1.53
Er1 Sn3,1.525
Ga3 Ni5,1.33125
Cu3 O4,0.9214285714285715
La4 Cu3 Te1 O12,1.0225
Tb1 Rh1,1.55
Li3 Mn2 O5,1.015
Li6 Mn3 Co1 O10,1.0125
Li1 Mn1 P4 O12,0.7805555555555554
Li3 Fe1 Co4 O8,0.996875
Li3 Co4 O8,0.97
Li3 V8 O16,0.9166666666666666
Li2 Fe2 S3 O12,0.8368421052631578
Ho2 Pb2 O7,1.0272727272727273
Ga1 Hg1 O2,1.0
Fe5 O8 F2,0.8533333333333333
Fe10 O11 F9,0.8366666666666666
Pr1 Cu1 Se2,1.375
Sr1 I2 O1,1.3499999999999999
Sn1 Se1,1.2999999999999998
Sb1,1.45
Fe3 Pt1,1.3874999999999997
Ni1 Cl2 O6,0.7722222222222221
Li1 H2 Br1 O5,0.6777777777777778
Ca1 Ga1 Au1,1.4833333333333332
Co1 P2 H15 N5 O8,0.4887096774193548
Cr1 Ga1,1.35
H17 Ru1 N6 Cl3 O2,0.4706896551724138
Ac2 Zn1 Sn1,1.675
Ac2 Zn1 In1,1.7
Ac1 Cu3,1.5000000000000002
Ba1 Sr3,2.0375
Ba1 Ac3,2.0
Ca2 Tl1 Zn1,1.7125
Dy1,1.75
Gd2 Mg1 Al1,1.5875
Hf2 Mn1 Os1,1.45
In1 O1,1.075
Ho1 Tm1 Hg2,1.625
La1 P5,1.1583333333333332
Li1 Tl2 Pd1,1.6625
Mg1 U1 O3,1.0100000000000002
Mg149 Sc1,1.5006666666666666
Mg1 Hg2,1.5
Nb2 Tc1 Os1,1.3875
Tm2 Tl1 Zn1,1.6875
Yb1 Ho3,1.75
Tl2 Zn1 P4 H8 O16,0.6693548387096774
Zn3 N1,1.1750000000000003
Yb2 Zn1 Hg1,1.5875
Zn1 Co1,1.35
Y6 Ni1 Br10,1.3911764705882352
Sr3 Ga2 As4,1.4666666666666666
Zr1 C8 N2 Cl6,0.8500000000000001
Cs1 Li1 I2,1.7125
Cs1 Hf2 Br9,1.3375
Ga1 H1 Cl2,0.8875
Ca1 Se1 O4,0.8916666666666666
Nd1 H1 O1,0.9
Cd1 N4 Cl6,0.9227272727272727
Cd3 B2 O6,0.9045454545454545
Zn2 Te1 Mo1 O7,0.8863636363636362
K2 U1 Pd3 S6,1.3624999999999998
Hg1 Te2 O2 F10,0.7
Lu2 Pb1 S4,1.3285714285714285
Cs3 Sb1 Se3,1.814285714285714
Cu1 H6 S1 O7,0.5366666666666666
K2 C1 S3 O1,1.2428571428571427
Rb1 W3 O9,0.9076923076923078
Li1 H6 I1 O7,0.57
Ni6 W6 C1,1.3000000000000003
La3 Si1 N4 F1,1.1166666666666665
Tm2 Ga9 Co3,1.3750000000000002
Ca21 Zn4 As18,1.4860465116279071
Sc2 Se3 O10,0.8433333333333333
Dy1 Mn1 Cu4 P3,1.2833333333333332
Ba2 Th1 Cr1 Te7,1.5727272727272728
Rb1 H1 S2 O7,0.8
Sr2 Al5 Pd4,1.440909090909091
Sb1 H3 N1 F6,0.5318181818181817
V1 P1 H5 O7,0.5571428571428572
Ge1 N3 F7,0.6090909090909091
Si3 As1 H27 C9,0.4375
Ca1 H4 Se2 O9,0.65625
Sr3 Ti5 O13,0.9904761904761905
Hf1 Mn1 Ge2,1.3625
Sn1 C8 N2 Cl6,0.8441176470588235
Ni2 As2 O9,0.8
Pr1 V2 I1 O9,0.8730769230769231
Cs4 B9 Se9,1.290909090909091
Sr13 Hg58,1.591549295774648
U3 Ag2 Ge2 O16,0.8934782608695652
La1 Mo1 I4 O15,0.857142857142857
Na2 Mo1 O6,0.961111111111111
Na1 Ga2 P2 O9,0.8428571428571429
Tb1 B4 Ru4,1.15
Ag1 C1 S2 O6 F3,0.7230769230769232
Pt1 Rh1 Br6 N5 Cl1,0.9892857142857141
Si1 C1,0.9
Zn1 As2 S4 O8 F12,0.6833333333333333
Sn1 N4 F8,0.6192307692307693
La18 In3 Co28,1.58265306122449
Na6 Li2 Y3 Zr3 P6 C2 O34,0.9205357142857142
Na1 H12 Ru1 C4 S2 Cl4 O2,0.6192307692307693
Cu3 S1 O8,0.8208333333333333
Yb4 Ni1 B13,1.0777777777777777
Dy1 B4 Ru4,1.15
Ba3 Al3 As5,1.45
Yb4 Ga21 Ni10,1.3657142857142857
Hg2 Cl1 O6,0.8444444444444443
Tm10 S19,1.2586206896551724
Tm1 Co3 P2,1.3
Nb2 Cu1 O6,0.8722222222222222
Cs3 Sb1 H2 S4 O1,1.3045454545454545
Er4 Sb3,1.6214285714285714
Na2 Nd1 N5 O16,0.7625
K2 Tl6 Tc1,1.9055555555555554
Rb2 Li1 V1 Cl6,1.35
Pb2 Br1 O1 F1,1.1700000000000002
Nb1 B1 Rh3,1.27
Si1 P1 Au1,1.15
La1 P2 Pd2,1.35
Zr5 Al3 N1,1.3499999999999999
Zn7 H10 C2 O16,0.6557142857142857
Y1 Rh1 O3,0.9900000000000001
Y2 Cl1 O2,1.1600000000000001
Yb6 Nb4 Al43,1.3216981132075472
V2 Cu3 H2 O9,0.790625
Ti3 P4 N2 O18,0.7518518518518518
Sr1 V5 Ni1 O11,0.9277777777777778
Sr2 Sc1 Nb1 O6,1.065
Sr3 Ta5 O15,0.9673913043478259
Sm2 Ni1 Ru1 O6,0.9950000000000001
Sm3 Si2 Pd2,1.5071428571428571
Rb1 Tm1 Br3,1.51
Sm12 Al7 Si1,1.6025
Pr3 Al12 Os4,1.3552631578947367
Rb2 Pb2 O3,1.4428571428571426
Rb1 Cu2 O10,0.8500000000000001
Sc3 Ge4 Mo2,1.4111111111111112
Ni21 Ge2 B6,1.2396551724137932
Lu2 Mo1 O6,0.95
Li1 Nd1 W2 O8,0.8999999999999999
Lu2 Ge3 Pt9,1.3857142857142857
Np1 Fe1 O3 F6,0.7227272727272727
K2 Cu1 Cl4 O2,1.2166666666666668
I1 N4,0.8
H1 I1 N2,0.7375
Hg2 P2 H6 O7,0.6294117647058823
Gd1 Al1 Rh1,1.4666666666666666
Dy7 Co6 Sn23,1.4916666666666667
Er7 Co6 Sn23,1.4916666666666667
Ba2 Y2 Mn4 O11,1.0578947368421052
Zn1 Cu2 Ge1 Se2 S2,1.2000000000000002
Y2 Zr1 W1 O8,0.9416666666666667
Tb1 Gd1 P2 O8,0.8624999999999998
Ta1 V1 Cu1,1.3833333333333333
Tb1 Mn6 Al6,1.3576923076923078
Ta4 W1 C5,1.065
Sr4 Zn1 Ir3 O12,1.03
Sr2 Ca1 Cu2 Bi2 O8,1.1
Sm1 Al1 Fe1,1.4999999999999998
Sm2 Mo2 O7,0.9818181818181817
Nb4 Fe1 C2 S4,1.1454545454545455
Nd2 Mn1 Cr1 O6,1.01
Nd14 Ag51,1.653846153846154
Na15 Y2 C9 S1 Cl1 O30 F1,0.9728813559322033
Mg3 Si4 O13,0.835
Li1 Nb1 As2,1.2999999999999998
Li2 Al1 Cr2 Sb1 O8,0.9428571428571426
La1 Fe2 Pb1 O6,1.0150000000000001
La6 S3 O2 F8,1.0473684210526315
K1 Sn1 Au1 S3,1.3333333333333335
In1 Ga1 S3,1.17
Hf10 Al3 Si3,1.409375
Dy2 Nb1 Ga1 O7,0.95
Cu3 N1,1.1750000000000003
Cs2 Ti1 W3 O12,0.9916666666666667
Cr1 Ag1 Sn1 Se4,1.2928571428571427
Ce2 Si1 Ge1,1.5125000000000002
Ca1 Ta4 O14,0.8421052631578947
Ce2 Ti2 Fe22 H1,1.3907407407407406
Ba3 Y1 Ir1 Ru1 O9,1.0866666666666667
Ba4 Fe12 Si8 Cl1 O35,0.9366666666666668
Ba2 V2 Cu1 F12,0.8441176470588235
Ag1 Bi1 Se2,1.375
Cs3 Se2 O8,1.1461538461538463
Tb1 Sb1 Pd1,1.533333333333333
Ca5 Rh2 N6,1.2000000000000002
Mg1 Ti1 Co1 S4,1.1785714285714284
Ba3 Ni3 N5,1.25
Ca3 Os3 N5,1.1409090909090909
K2 Ca2 S3 O12,0.9578947368421052
Nd1 Sb1,1.65
Li1 Si6 Ni6,1.2423076923076926
Ca1 Zn1 Si1,1.4166666666666667
Rb1 Y1 Te2,1.7375
Na1 Cr1 F4,0.8666666666666667
Mn2 Cd1 O4,0.9642857142857142
Li1 Sc1 Mo3 O8,0.9384615384615385
Tm1 Co1 C1,1.2666666666666666
Mg4 P6 Rh7,1.261764705882353
Zr3 In1,1.55
Eu1 Ge1,1.55
Cs2 Pt1 I6,1.661111111111111
Sr2 B1 N2 Cl1,1.1916666666666667
P2 Os1,1.1
Sm4 Bi3,1.7428571428571429
Sn1 H8 N2 Cl6,0.6323529411764706
Dy1 Ir3,1.4500000000000002
Ga1 H36 C12 S6 I3 O6,0.5078125
Cu1 O1,0.9750000000000001
Li1 Mn2 P3 O10,0.828125
Rh1 Cl3,1.0875
Li4 H1 N1,1.1166666666666667
Ca2 Co1 O3,1.125
Tb1 Tl1,1.825
Al1 Bi1 Br6,1.21875
La1 C6 N9,0.75
Ti1 Sb1 Ru1,1.3833333333333333
Th1 Si2 Os2,1.32
La3 Ru1 O7,1.0318181818181817
Ta1 H1 O3,0.7
K1 Y3 F10,0.8999999999999999
Ca1 Al9 Ni1,1.309090909090909
Bi2 W1 O8,0.8500000000000001
Mg1 Si1 O3,0.88
Ni1 O2,0.85
Y2 W3 O12,0.8735294117647059
Er2 Sn2 O7,0.9636363636363636
K1 B1 F4,0.8416666666666666
Nd7 Al7 Co6,1.49
Ce2 Co7 B3,1.3083333333333333
Zr5 Al1 Sn3,1.4833333333333334
Na2 U1 O4,1.107142857142857
Ba1 Zn1 Fe1 F7,0.84
Rb2 In3 F11,0.9281250000000001
Mg1 As2 Xe2 F18,0.6870158102766798
Hg1 As4 S4 I2,1.1727272727272726
Fe1 Bi1 O3,0.9600000000000001
V1 S2 Br2 N3,0.9500000000000001
Rb6 Si10 O23,0.9974358974358974
Ba1 W1 O4,0.9833333333333332
Cs2 As2 O1 F10,0.8733333333333333
K3 Np1 H6 O8,0.8138888888888889
Te1 W1 N1 Cl4 F5,0.8250000000000001
Mn1 H21 C7 S3 N1,0.46060606060606063
As1 S4 N4 F5,0.7321428571428572
La4 Ni3 O10,1.05
Mn3 P2 O8,0.8461538461538463
Ti2 Bi2 O7,0.9272727272727272
Na1 Li3 Si1 O4,1.0722222222222222
Mo8 O23,0.8193548387096774
Na2 Ca1 As4 O12,0.9052631578947368
Be1 Al6 O10,0.8558823529411765
Na3 Ga1 P2 O8,0.9642857142857142
Cs7 O1,2.35
Co3 P2 O8,0.8346153846153848
Cs3 Sb2 Cl9,1.407142857142857
Ti1 Ge2,1.2999999999999998
Cr5 Ge3,1.34375
K1 Cu1 P1 Se3,1.3333333333333333
In1 Sb2 Se4 Br1,1.2750000000000001
Ti1 Al1 Pt1,1.3333333333333333
Mg1 Cl2,1.1666666666666665
Cs2 Fe1 Ni1 C6 N6,1.0031249999999998
Tm1 Si2 Pd2,1.35
Yb1 Ni1 Ge2,1.4
Ge8 Pd21,1.3586206896551725
Gd2 Mo1 O6,0.961111111111111
Nd1 Cu9 Sn4,1.4142857142857146
Re1 Te8 Cl6,1.2366666666666666
Cu7 Hg6,1.419230769230769
Ba3 Pb5,1.93125
Re1 Sn2 Se1,1.35
Ag1 As1 Ru2,1.3375
K1 Sb1 O3,1.0899999999999999
Ce1 Si1 N1 O2,0.9600000000000001
Bi14 S1 O24,0.9692307692307693
Mg3 As2 O8,0.8923076923076924
Ba1 Sr1 Cu1 C1 O4,1.075
Na2 Al2 Si3 H4 O12,0.7652173913043478
Li11 Ta37 N48,1.05
Nd3 O2 F5,0.925
Y1 Mg1 Zn1,1.55
Ba1 La1 Mn1 In1 O6,1.065
Li1 Fe1 P1 O4,0.8928571428571428
Hg1 H4 C4 Br4 N2,0.7466666666666666
Ba1 B2 H8 O8,0.5605263157894735
H13 Cl1 O6,0.3925
Ba1 Cu2 O2,1.21
Li2 Mn2 C3 O9,0.825
Li1 V3 F10,0.75
Li1 Co1 Si1 O4,0.8999999999999999
Li1 Fe1 O3,0.9299999999999999
Li2 Mn5 O10,0.9352941176470588
Na3 Li4 Mn5 O9,1.1238095238095236
Pr1 Y1 O2,1.2125000000000001
Cr3 O2 F2,0.9142857142857141
Ga2 Cu1 O4,0.907142857142857
Li1 Mn2 P2 O8,0.8500000000000001
Li2 V1 F6,0.8055555555555556
Li2 V1 Cr1 P2 H2 O10,0.7861111111111111
Rb2 O1,1.7666666666666666
Ho1 B1 O3,0.88
Li2 Mn2 Sb1 O6,0.9772727272727271
Cs1 Gd1 O2,1.4000000000000001
Na3 Ni1 O3,1.2214285714285713
Li4 Mn1 Nb1 W2 O12,0.9275
Li1 Cr1 P1 O4,0.8928571428571428
Ba8 Fe8 O21,1.1081081081081081
V3 O5 F1,0.8388888888888889
V2 Ga1 O5,0.875
Cr3 Co3 Sb2 O16,0.8645833333333333
Ge1 S2,1.0833333333333333
La24 Ni12 O49,1.0870588235294116
Cs1 Li1 F2,1.2625
Li8 Fe9 Co1 O20,0.988157894736842
Cr1 Bi14 O24,0.9794871794871796
Li2 V1 Cr1 P2 O8 F2,0.840625
Li3 V2 O6,0.968181818181818
Li3 Mn2 Ni2 O8,0.9766666666666666
Li1 Mn2 F6,0.8055555555555555
Li1 Ta3 O8,0.8833333333333333
Na2 Cu1 P1,1.4875
Li4 Ti4 Mn1 Cr4 O18,0.9419354838709677
Li4 Ti2 Cr3 Fe3 O16,0.95
Gd2 W4 O15,0.8571428571428572
Na2 Cu1 B1 S1 O7,0.9166666666666667
Ba2 B2 O5,1.0
Nb1 Fe1 P2 O8,0.8041666666666667
Na5 Li1 Mn2 P2 C2 O14,0.9634615384615386
Li4 Mn2 V3 Cr3 O16,0.9446428571428571
Pr5 Co2 B6,1.3115384615384615
Li1 Mn1 Si1 O4,0.907142857142857
Li8 Mn7 Fe1 B8 O24,0.9166666666666667
Li5 Mn6 B6 O18,0.9014285714285715
Fe3 O1 F5,0.8111111111111111
Na2 Mn1 P1 C1 O7,0.9083333333333332
Li1 V1 P2 H1 O8,0.7576923076923077
Li2 Mn1 P1 H1 O5,0.855
Ca1 Ag2 Ge2,1.5000000000000002
Mg1 Pt3 O6,0.915
Ca1 Ti1 F5,0.8142857142857143
Li3 Ti2 Cu3 O10,0.9555555555555555
Li1 Cu1 Sb1 O4,0.95
Na1 Cr4 O12,0.8588235294117648
Ac1 Ag1 Au2,1.5625
Li2 Fe1 Si2 O6,0.918181818181818
Nd2 Re1 C2,1.2900000000000003
Tm1 Zn1 Rh2,1.4500000000000002
Ti1 Zn1 Au2,1.3625
Gd1 Cd1 Hg2,1.5875
Ac1 Ti1 O3,1.0299999999999998
Yb1 Sn1 Rh2,1.475
Ti1 In1 Rh2,1.4125
K1 Si1 Bi1 S4,1.2714285714285714
Ca2 Ag1 Sn1,1.6625
Cr1,1.4
Na1 Be1 Sb1,1.4333333333333331
Th1 Cu2 P2,1.3000000000000003
Na3 Ag1 S2,1.5
Zr3 Pt1,1.5
Rb3 Na1,2.2125000000000004
Rb1 Mg3,1.7125
Li1 Hf2 Tc1,1.475
Li1 Dy1 O2,1.1
Mg3 Cr1,1.475
Sm1 Dy1 Ru2,1.55
Cu1 Si1 Rh2,1.2875
Cs2 As1 Br1 Cl6,1.35
Cs2 Na1 Ca1 Cl6,1.48
Ca1 Fe1 Mo1 O6,0.9166666666666665
Ca1 Co4 O8,0.9230769230769231
Mg1 Ni2 O4,0.9428571428571428
Mg1 Mn2 O4,0.9571428571428571
Mg1 Cr1 F4,0.8166666666666667
W3 O8,0.8045454545454545
Mg1 Mo1 O3,0.9500000000000001
Mn1 Al1 O3,0.89
Zn2 Cu1 Sb1 O6,0.91
Zn2 W2 O5,0.9333333333333333
Ca1 Sn4 O6,1.018181818181818
Ca2 Sb1 W1 O6,1.0
Mg2 Ta1 Ti1 O6,0.9450000000000001
Ca7 Ge1,1.73125
Tc1 N1,1.0
U1 B2 Ru3,1.225
Li1 Mn3 P3 O13,0.8225
Er2 Fe2 Si2 C1,1.3142857142857143
Ce1 I3,1.5124999999999997
Sm1 Si2 Rh1,1.35
Sr1 Mg6 Bi1 O8,1.0875
Hf1 Mg30 Ni1 O32,1.0484375
Mg30 B1 Sb1 O32,1.0390625
Na1 Mg30 B1 O32,1.04453125
Y1 Al2 Si2,1.3000000000000003
Sm1 Hg2,1.6166666666666667
U1 Sb1 Rh1,1.5166666666666664
Sm3 Al1 N1,1.4900000000000002
Er1 O1 F1,0.9499999999999998
La7 Sm1 Cr2 Fe6 O24,1.0274999999999999
K2 Na2 Nb1 W3 O12,1.0350000000000001
Mn1 Cr2 S4,1.1714285714285713
Y1 Co1 Ge2,1.4125
Os1 Br1 N5 Cl2 O1,0.8300000000000001
Ca1 Ga2 P2,1.2800000000000002
B3 Os2,1.03
Pr1 Al1 Ni1,1.4833333333333332
Ho1 Fe1 Ge2,1.4125
Tm1 In1 Au1,1.5499999999999998
Li1 Cu2 Ni1,1.375
Al1 V1 Re2,1.3250000000000002
Mg3 Ga1,1.45
Mg1 Ti1,1.45
Ce1 Ga2 Pd2,1.4500000000000002
Ge1 F2,0.75
U1 B4 Os1,1.075
Zr2 Cu1 Re1,1.4500000000000002
Cr1 Mo1 W2,1.3875
Sc1 Sn1 Ir2,1.4375
Hf1 Zr1 Ru2,1.425
Hf1 Ti1 Au2,1.4125
Li1 Al2 Au1,1.3250000000000002
Li1 Sc1 Ag2,1.5625
Re1 Mo1 W2,1.375
Na2 Mo2 O5,1.0555555555555554
Li1 Mg6 Co1,1.4749999999999999
K1 Mg6 Ti1,1.575
Cs1 Mg6 Fe1,1.625
Ni1 Bi2 O6,0.9055555555555554
Gd1 As1 S1,1.3166666666666667
Y1 Ni4 P2,1.314285714285714
Yb5 Pt2,1.6357142857142857
Tl1 Sb1 P2 Se6,1.2249999999999999
Ba1 U2 Te5,1.58125
Lu5 Sn3,1.6375
Li3 Ga1 F6,0.865
K2 Hg1 Rh1 F6,1.0250000000000001
Cs2 Tl1 Au1 Br6,1.535
Cs2 Dy1 Cu1 Cl6,1.4300000000000002
Na2 S1 O4,0.9999999999999998
Li3 Mn1 Co2 O6,1.0041666666666667
K3 Mn1 P1 C1 O7,1.0692307692307692
Fe10 O1 F19,0.8033333333333332
Pr1 Ni1,1.6
Ni1 H12 Br2 O14,0.5189655172413793
Ni1 P2 N2 O12 F2,0.6763157894736842
Hg1 C4 Br3 N1,0.9333333333333332
B4 N2 O11,0.6647058823529413
Ca1 Dy1 Zn2,1.5625
Cd1 Pb3,1.7375
Cd1 Sn2 H12 O6 F6,0.5203703703703704
Cs1 Rb3,2.4125
Ga3 Si1,1.25
Ga1 Si1 O3,0.8400000000000001
Hf3 Ni1,1.5
La3 Pm1,1.9249999999999998
La2 Cd1 Hg1,1.7375
La1 Ta3,1.575
Na3 Mo1,1.7125000000000001
Pm1 Pa1,1.8250000000000002
Pr3 Sc1,1.7875
Sr3 Yb1,1.9375
Sr1 Mg2,1.6666666666666665
Ta1 Ru3,1.3375000000000001
Sr3 Eu1,1.9625
Zr1 Ni1 H1,1.0499999999999998
Tl1 In1 Hg1 S3,1.325
V1 Zn2 I1 O7,0.8772727272727272
Cs1 P2 H3 O6,0.7458333333333333
La5 In11 Ni6,1.5863636363636364
Tm1 W1 Br1 O4,0.95
Cs1 Fe1 P1 H12 O10,0.56
Cu2 Pb1 Se2 Cl2 O6,0.9538461538461539
Li2 Se2 O7,0.8545454545454545
Cd1 H7 C3 N1 O6,0.5361111111111111
Y1 B3 H30 N6,0.39375000000000004
Cs2 Cu1 Si5 O12,0.9625
Rb8 Mn5 O10,1.382608695652174
Ca1 C1 O3,0.86
Ba2 B6 H4 O13,0.728
Er1 H2 C2 S1 N1 O9,0.66875
Tl2 Re3 S6,1.259090909090909
K4 Mn2 S4 O19,0.9310344827586206
Bi6 N5 O26,0.768918918918919
Mg1 Cu1 C1 O5,0.81875
In1 Re4 C14 I3 O14,0.8152777777777778
Ag7 As1 Se6,1.375
Cu1 Te1 Pb3 C1 O10,0.928125
K3 As1 S4,1.46875
Na1 Ca1 P1 H18 S1 O12,0.5088235294117647
Ho3 Ge13 Rh4,1.345
Ca2 V1 P3 O11,0.8558823529411765
Sr4 Li2 Ta2 Al2 N8 O1,1.1631578947368422
Lu3 Ge13 Os4,1.335
La21 Mn8 Sb7 C12,1.4729166666666667
Ag2 Mo1 I4 O14,0.888095238095238
Na5 Ga7 H12 S13 O6,0.8767441860465116
Ga40 Ge1 Mo8,1.323469387755102
K4 Th1 S4 O18,0.9407407407407407
K1 Y1 C4 O12,0.7777777777777777
Ho2 Ni22 C3,1.3074074074074074
Th1 O1,1.2
Rb1 Ag1 C2,1.3375
K1 Rb2 In1 F6,1.145
Yb1 Ta5 Ag2 O15,0.9217391304347826
Zr6 Fe1 S2,1.411111111111111
Y1 Zn3 P3,1.2642857142857142
Y3 Al3 V2 O12,0.9525
V5 Se8,1.226923076923077
Tm3 Si3 Ni1,1.4142857142857144
Sr1 Li1 V1 F6,0.8666666666666667
Sm2 Sb5,1.5642857142857145
Sc1 Tl1 S2 O8,0.8583333333333332
Rb3 Lu1 V2 O8,1.1642857142857141
Pr2 Mo1 O6,0.9722222222222221
Nd6 Al5 Fe9,1.4975
Na1 Al1 Cr2 H2 O8,0.7964285714285713
Li2 Zn2 W2 O9,0.9133333333333333
Lu2 Ga9 Rh3,1.3750000000000002
Li1 Si1 Ag2,1.4375
Li1 Bi1 F2,1.0125
K1 La1 F4,1.025
K1 Sm1 Se2 O8,0.9291666666666667
K1 Cr2 Fe1 H2 O8,0.8357142857142856
Ho1 Tl1 Mo2 O8,0.9458333333333333
Hf9 Mo4 Se1,1.4928571428571429
Gd1 Ti1 Cl1 O3,1.0
Gd1 Tl1 Mo2 O8,0.95
Dy1 Be1 N1 F6,0.7166666666666666
Hg2 P4 Pd1 O8,0.8800000000000001
